Date,spy_tlt_corr_90d,cpi_yoy,vix,corr_stress,inflation_stress,vix_stress,regime_score,regime_label
2007-04-12,,0.027981972959439272,12.710000038146973,False,False,False,0,normal
2007-04-13,,0.027981972959439272,12.199999809265137,False,False,False,0,normal
2007-04-16,,0.027981972959439272,11.979999542236328,False,False,False,0,normal
2007-04-17,,0.027981972959439272,12.140000343322754,False,False,False,0,normal
2007-04-18,,0.027981972959439272,12.420000076293945,False,False,False,0,normal
2007-04-19,,0.027981972959439272,12.539999961853027,False,False,False,0,normal
2007-04-20,,0.027981972959439272,12.069999694824219,False,False,False,0,normal
2007-04-23,,0.027981972959439272,13.039999961853027,False,False,False,0,normal
2007-04-24,,0.027981972959439272,13.119999885559082,False,False,False,0,normal
2007-04-25,,0.027981972959439272,13.210000038146973,False,False,False,0,normal
2007-04-26,,0.027981972959439272,12.789999961853027,False,False,False,0,normal
2007-04-27,,0.027981972959439272,12.449999809265137,False,False,False,0,normal
2007-04-30,,0.027981972959439272,14.220000267028809,False,False,False,0,normal
2007-05-01,,0.025929247633283525,13.510000228881836,False,False,False,0,normal
2007-05-02,,0.025929247633283525,13.079999923706055,False,False,False,0,normal
2007-05-03,,0.025929247633283525,13.09000015258789,False,False,False,0,normal
2007-05-04,,0.025929247633283525,12.90999984741211,False,False,False,0,normal
2007-05-07,,0.025929247633283525,13.149999618530273,False,False,False,0,normal
2007-05-08,,0.025929247633283525,13.210000038146973,False,False,False,0,normal
2007-05-09,,0.025929247633283525,12.880000114440918,False,False,False,0,normal
2007-05-10,,0.025929247633283525,13.600000381469727,False,False,False,0,normal
2007-05-11,,0.025929247633283525,12.949999809265137,False,False,False,0,normal
2007-05-14,,0.025929247633283525,13.960000038146973,False,False,False,0,normal
2007-05-15,,0.025929247633283525,14.010000228881836,False,False,False,0,normal
2007-05-16,,0.025929247633283525,13.5,False,False,False,0,normal
2007-05-17,,0.025929247633283525,13.510000228881836,False,False,False,0,normal
2007-05-18,,0.025929247633283525,12.760000228881836,False,False,False,0,normal
2007-05-21,,0.025929247633283525,13.300000190734863,False,False,False,0,normal
2007-05-22,,0.025929247633283525,13.0600004196167,False,False,False,0,normal
2007-05-23,,0.025929247633283525,13.239999771118164,False,False,False,0,normal
2007-05-24,,0.025929247633283525,14.079999923706055,False,False,False,0,normal
2007-05-25,,0.025929247633283525,13.34000015258789,False,False,False,0,normal
2007-05-29,,0.025929247633283525,13.529999732971191,False,False,False,0,normal
2007-05-30,,0.025929247633283525,12.829999923706055,False,False,False,0,normal
2007-05-31,,0.025929247633283525,13.050000190734863,False,False,False,0,normal
2007-06-01,,0.02709885742672613,12.779999732971191,False,False,False,0,normal
2007-06-04,,0.02709885742672613,13.289999961853027,False,False,False,0,normal
2007-06-05,,0.02709885742672613,13.630000114440918,False,False,False,0,normal
2007-06-06,,0.02709885742672613,14.869999885559082,False,False,False,0,normal
2007-06-07,,0.02709885742672613,17.059999465942383,False,False,False,0,normal
2007-06-08,,0.02709885742672613,14.84000015258789,False,False,False,0,normal
2007-06-11,,0.02709885742672613,14.710000038146973,False,False,False,0,normal
2007-06-12,,0.02709885742672613,16.670000076293945,False,False,False,0,normal
2007-06-13,,0.02709885742672613,14.729999542236328,False,False,False,0,normal
2007-06-14,,0.02709885742672613,13.640000343322754,False,False,False,0,normal
2007-06-15,,0.02709885742672613,13.9399995803833,False,False,False,0,normal
2007-06-18,,0.02709885742672613,13.420000076293945,False,False,False,0,normal
2007-06-19,,0.02709885742672613,12.850000381469727,False,False,False,0,normal
2007-06-20,,0.02709885742672613,14.670000076293945,False,False,False,0,normal
2007-06-21,,0.02709885742672613,14.210000038146973,False,False,False,0,normal
2007-06-22,,0.02709885742672613,15.75,False,False,False,0,normal
2007-06-25,,0.02709885742672613,16.649999618530273,False,False,False,0,normal
2007-06-26,,0.02709885742672613,18.889999389648438,False,False,False,0,normal
2007-06-27,,0.02709885742672613,15.529999732971191,False,False,False,0,normal
2007-06-28,,0.02709885742672613,15.539999961853027,False,False,False,0,normal
2007-06-29,,0.02709885742672613,16.229999542236328,False,False,False,0,normal
2007-07-02,,0.02692765113974227,15.399999618530273,False,False,False,0,normal
2007-07-03,,0.02692765113974227,14.920000076293945,False,False,False,0,normal
2007-07-05,,0.02692765113974227,15.479999542236328,False,False,False,0,normal
2007-07-06,,0.02692765113974227,14.720000267028809,False,False,False,0,normal
2007-07-09,,0.02692765113974227,15.15999984741211,False,False,False,0,normal
2007-07-10,,0.02692765113974227,17.56999969482422,False,False,False,0,normal
2007-07-11,,0.02692765113974227,16.639999389648438,False,False,False,0,normal
2007-07-12,,0.02692765113974227,15.539999961853027,False,False,False,0,normal
2007-07-13,,0.02692765113974227,15.149999618530273,False,False,False,0,normal
2007-07-16,,0.02692765113974227,15.59000015258789,False,False,False,0,normal
2007-07-17,,0.02692765113974227,15.630000114440918,False,False,False,0,normal
2007-07-18,,0.02692765113974227,16.0,False,False,False,0,normal
2007-07-19,,0.02692765113974227,15.229999542236328,False,False,False,0,normal
2007-07-20,,0.02692765113974227,16.950000762939453,False,False,False,0,normal
2007-07-23,,0.02692765113974227,16.809999465942383,False,False,False,0,normal
2007-07-24,,0.02692765113974227,18.549999237060547,False,False,False,0,normal
2007-07-25,,0.02692765113974227,18.100000381469727,False,False,False,0,normal
2007-07-26,,0.02692765113974227,20.739999771118164,False,False,False,0,normal
2007-07-27,,0.02692765113974227,24.170000076293945,False,False,False,0,normal
2007-07-30,,0.02692765113974227,20.8700008392334,False,False,False,0,normal
2007-07-31,,0.02692765113974227,23.520000457763672,False,False,False,0,normal
2007-08-01,,0.023178905864958077,23.670000076293945,False,False,False,0,normal
2007-08-02,,0.023178905864958077,21.219999313354492,False,False,False,0,normal
2007-08-03,,0.023178905864958077,25.15999984741211,False,False,True,1,watch
2007-08-06,,0.023178905864958077,22.940000534057617,False,False,False,0,normal
2007-08-07,,0.023178905864958077,21.559999465942383,False,False,False,0,normal
2007-08-08,,0.023178905864958077,21.450000762939453,False,False,False,0,normal
2007-08-09,,0.023178905864958077,26.479999542236328,False,False,True,1,watch
2007-08-10,,0.023178905864958077,28.299999237060547,False,False,True,1,watch
2007-08-13,,0.023178905864958077,26.56999969482422,False,False,True,1,watch
2007-08-14,,0.023178905864958077,27.68000030517578,False,False,True,1,watch
2007-08-15,,0.023178905864958077,30.670000076293945,False,False,True,1,watch
2007-08-16,,0.023178905864958077,30.829999923706055,False,False,True,1,watch
2007-08-17,-0.17102421153726968,0.023178905864958077,29.989999771118164,False,False,True,1,watch
2007-08-20,-0.17136502115211902,0.023178905864958077,26.329999923706055,False,False,True,1,watch
2007-08-21,-0.16651914664045375,0.023178905864958077,25.25,False,False,True,1,watch
2007-08-22,-0.18090959918991234,0.023178905864958077,22.889999389648438,False,False,False,0,normal
2007-08-23,-0.18501357107326288,0.023178905864958077,22.6200008392334,False,False,False,0,normal
2007-08-24,-0.17275316289163406,0.023178905864958077,20.719999313354492,False,False,False,0,normal
2007-08-27,-0.18080354995958647,0.023178905864958077,22.719999313354492,False,False,False,0,normal
2007-08-28,-0.17808882604396836,0.023178905864958077,26.299999237060547,False,False,True,1,watch
2007-08-29,-0.18296061257916796,0.023178905864958077,23.809999465942383,False,False,False,0,normal
2007-08-30,-0.18551648310728153,0.023178905864958077,25.059999465942383,False,False,True,1,watch
2007-08-31,-0.1782959318944087,0.023178905864958077,23.3799991607666,False,False,False,0,normal
2007-09-04,-0.17700418278268543,0.01897448478900876,22.780000686645508,False,False,False,0,normal
2007-09-05,-0.18705705638361683,0.01897448478900876,24.579999923706055,False,False,False,0,normal
2007-09-06,-0.1758975445305303,0.01897448478900876,23.989999771118164,False,False,False,0,normal
2007-09-07,-0.20399198948680627,0.01897448478900876,26.229999542236328,False,False,True,1,watch
2007-09-10,-0.20392039776193757,0.01897448478900876,27.3799991607666,False,False,True,1,watch
2007-09-11,-0.20290497815850872,0.01897448478900876,25.270000457763672,False,False,True,1,watch
2007-09-12,-0.2074164351125988,0.01897448478900876,24.959999084472656,False,False,False,0,normal
2007-09-13,-0.21619221438586617,0.01897448478900876,24.760000228881836,False,False,False,0,normal
2007-09-14,-0.21698035287706616,0.01897448478900876,24.920000076293945,False,False,False,0,normal
2007-09-17,-0.2186960175909438,0.01897448478900876,26.479999542236328,False,False,True,1,watch
2007-09-18,-0.2445937524495066,0.01897448478900876,20.350000381469727,False,False,False,0,normal
2007-09-19,-0.24597970178433992,0.01897448478900876,20.030000686645508,False,False,False,0,normal
2007-09-20,-0.2124790512846717,0.01897448478900876,20.450000762939453,False,False,False,0,normal
2007-09-21,-0.2072707072396903,0.01897448478900876,19.0,False,False,False,0,normal
2007-09-24,-0.20742227071197675,0.01897448478900876,19.3700008392334,False,False,False,0,normal
2007-09-25,-0.2077450467617473,0.01897448478900876,18.600000381469727,False,False,False,0,normal
2007-09-26,-0.1995467140005046,0.01897448478900876,17.6299991607666,False,False,False,0,normal
2007-09-27,-0.1919915889929724,0.01897448478900876,17.0,False,False,False,0,normal
2007-09-28,-0.19446773897193298,0.01897448478900876,18.0,False,False,False,0,normal
2007-10-01,-0.18390622055834704,0.028338264299802685,17.84000015258789,False,False,False,0,normal
2007-10-02,-0.18464750934958488,0.028338264299802685,18.489999771118164,False,False,False,0,normal
2007-10-03,-0.18160084782789354,0.028338264299802685,18.799999237060547,False,False,False,0,normal
2007-10-04,-0.18043470459887243,0.028338264299802685,18.440000534057617,False,False,False,0,normal
2007-10-05,-0.19909090333882043,0.028338264299802685,16.90999984741211,False,False,False,0,normal
2007-10-08,-0.19828633156590472,0.028338264299802685,17.459999084472656,False,False,False,0,normal
2007-10-09,-0.1967739840923117,0.028338264299802685,16.1200008392334,False,False,False,0,normal
2007-10-10,-0.19705052633462233,0.028338264299802685,16.670000076293945,False,False,False,0,normal
2007-10-11,-0.20137775923260187,0.028338264299802685,18.8799991607666,False,False,False,0,normal
2007-10-12,-0.20761555997814066,0.028338264299802685,17.729999542236328,False,False,False,0,normal
2007-10-15,-0.2764893440472087,0.028338264299802685,19.25,False,False,False,0,normal
2007-10-16,-0.27409025678584303,0.028338264299802685,20.020000457763672,False,False,False,0,normal
2007-10-17,-0.2653163940692114,0.028338264299802685,18.540000915527344,False,False,False,0,normal
2007-10-18,-0.30797712779225844,0.028338264299802685,18.5,False,False,False,0,normal
2007-10-19,-0.3839384514512146,0.028338264299802685,22.959999084472656,False,False,False,0,normal
2007-10-22,-0.3818658312814701,0.028338264299802685,21.639999389648438,False,False,False,0,normal
2007-10-23,-0.39141262756645967,0.028338264299802685,20.40999984741211,False,False,False,0,normal
2007-10-24,-0.392237298773811,0.028338264299802685,20.799999237060547,False,False,False,0,normal
2007-10-25,-0.40010867006729883,0.028338264299802685,21.170000076293945,False,False,False,0,normal
2007-10-26,-0.4335366848150717,0.028338264299802685,19.559999465942383,False,False,False,0,normal
2007-10-29,-0.42900979455259786,0.028338264299802685,19.8700008392334,False,False,False,0,normal
2007-10-30,-0.4206580184394047,0.028338264299802685,21.06999969482422,False,False,False,0,normal
2007-10-31,-0.4271388860082889,0.028338264299802685,18.530000686645508,False,False,False,0,normal
2007-11-01,-0.45676327440959263,0.03610698365527476,23.209999084472656,False,True,False,1,watch
2007-11-02,-0.46000943788525944,0.03610698365527476,23.010000228881836,False,True,False,1,watch
2007-11-05,-0.45683498013994783,0.03610698365527476,24.309999465942383,False,True,False,1,watch
2007-11-06,-0.4692775366350625,0.03610698365527476,21.389999389648438,False,True,False,1,watch
2007-11-07,-0.46658643688583673,0.03610698365527476,26.489999771118164,False,True,True,2,defensive
2007-11-08,-0.4629367904676197,0.03610698365527476,26.15999984741211,False,True,True,2,defensive
2007-11-09,-0.4830508164719694,0.03610698365527476,28.5,False,True,True,2,defensive
2007-11-12,-0.4823000138331433,0.03610698365527476,31.09000015258789,False,True,True,2,defensive
